transaction_id,amount,hour,country,channel,transactions_last_24h,days_as_customer,is_fraud
TXN0000157,2.1,18,UK,mobile,2,258,0
TXN0000158,301.6,9,UK,online,3,51,0
TXN0000159,318.95,17,Romania,online,4,283,1
TXN0000160,14.64,11,Spain,pos,2,179,0
TXN0000161,37.21,15,US,online,4,349,0
TXN0000162,135.08,15,France,pos,4,63,0
TXN0000163,82.32,14,Unknown,pos,4,831,0
TXN0000164,53.76,6,UK,online,1,709,0
TXN0000165,85.46,19,Spain,online,1,185,0
TXN0000166,72.4,10,UK,pos,2,128,0
TXN0000167,283.73,8,Romania,online,0,214,0
TXN0000168,3763.94,2,Unknown,atm,0,947,1
TXN0000169,165.92,15,Spain,atm,1,66,0
TXN0000170,191.2,16,Spain,pos,2,412,0
TXN0000171,2.84,0,Nigeria,pos,1,586,0
TXN0000172,10.2,13,France,mobile,1,1885,0
TXN0000173,41.22,9,US,atm,2,70,0
TXN0000174,149.02,16,US,online,4,1297,0
TXN0000175,18.68,8,Spain,online,2,43,0
TXN0000176,50.6,16,UK,online,3,754,0
TXN0000177,146.44,11,Spain,mobile,1,439,0
TXN0000178,136.85,21,Romania,online,2,92,1
TXN0000179,117.66,7,Unknown,online,4,377,0
TXN0000180,14.65,10,UK,online,0,298,0
TXN0000181,58.25,7,UK,mobile,2,25,0
TXN0000182,167.74,21,US,online,1,756,0
TXN0000183,88.62,20,Spain,online,2,465,0
TXN0000184,5418.68,9,US,online,2,254,0
TXN0000185,125.56,16,UK,atm,1,852,0
TXN0000186,,19,US,online,2,363,0
TXN0000187,17.61,14,UK,mobile,2,142,0
TXN0000188,134.17,14,UK,atm,4,227,0
TXN0000189,104.27,9,Romania,online,0,1247,0
TXN0000190,28.32,6,UK,mobile,3,99,0
TXN0000191,87.34,20,UK,online,1,142,0
TXN0000192,22.14,21,US,online,4,1117,0
TXN0000193,32.53,15,Romania,online,3,47,0
TXN0000194,40.15,10,Spain,atm,4,245,0
TXN0000195,66.54,11,Romania,pos,1,680,0
TXN0000196,46.21,17,UK,online,4,573,0
TXN0000197,148.38,20,France,online,3,784,0
TXN0000198,46.69,20,France,pos,2,188,0
TXN0000199,58.87,18,UK,atm,2,448,0
TXN0000200,2.13,15,Romania,atm,2,190,0
TXN0000201,46.95,6,Spain,atm,2,935,0
TXN0000202,134.21,7,UK,pos,2,131,0
TXN0000203,41.8,20,US,online,1,642,0
TXN0000204,15.36,15,UK,mobile,3,1186,0
TXN0000205,78.88,0,UK,mobile,4,306,0
TXN0000206,116.47,6,Nigeria,atm,5,163,0
TXN0000207,4.66,16,UK,online,4,85,0
TXN0000208,50.11,0,Unknown,mobile,4,43,0
TXN0000209,178.48,7,Spain,online,2,246,0
TXN0000210,,14,UK,pos,1,162,0
TXN0000211,61.11,16,Nigeria,online,0,60,0
TXN0000212,13.37,16,Unknown,atm,1,1450,0
TXN0000213,1451.47,9,,atm,3,496,0
TXN0000214,290.02,17,UK,pos,3,16,0
TXN0000215,287.05,9,UK,pos,2,1,0
TXN0000216,94.06,10,Nigeria,mobile,3,1444,0
TXN0000217,450.13,17,Unknown,online,1,924,0
TXN0000218,53.92,16,Romania,pos,3,12,0
TXN0000219,104.82,19,UK,pos,1,255,0
TXN0000220,59.03,16,UK,atm,1,101,0
TXN0000221,70.57,14,Spain,atm,3,119,0
TXN0000222,0.5,6,UK,pos,1,62,0
TXN0000223,353.78,11,Romania,online,2,404,0
TXN0000224,23.27,9,Spain,online,6,206,1
TXN0000225,116.81,9,Spain,online,1,1571,0
TXN0000226,212.8,22,UK,online,8,248,0
TXN0000227,2140.78,11,,online,2,81,0
TXN0000228,40.18,20,US,online,4,315,0
TXN0000229,336.25,15,Spain,online,0,8,0
TXN0000230,5.11,18,Spain,pos,2,59,0
TXN0000231,208.45,13,Spain,online,4,320,0
TXN0000232,230.34,14,US,atm,4,560,0
TXN0000233,47.78,13,Unknown,mobile,3,49,1
TXN0000234,127.28,8,Romania,mobile,4,1049,0
TXN0000235,15.02,17,,online,4,809,0
TXN0000236,114.78,9,Germany,online,3,495,0
TXN0000237,30.59,1,France,pos,1,729,0
TXN0000238,395.53,16,Spain,pos,4,162,0
TXN0000239,13.53,8,US,online,1,187,0
TXN0000240,77.47,22,Spain,pos,2,528,0
TXN0000241,158.64,22,Nigeria,online,1,33,0
TXN0000242,106.43,21,Romania,pos,1,506,0
TXN0000243,5.77,11,UK,pos,3,266,0
TXN0000244,234.38,0,UK,online,2,17,1
TXN0000245,209.38,21,US,atm,1,193,0
TXN0000246,63.27,12,Germany,online,1,380,0
TXN0000247,174.86,22,UK,mobile,5,741,0
TXN0000248,41.16,22,France,pos,4,693,0
TXN0000249,44.21,19,UK,online,2,92,0
TXN0000250,355.22,10,UK,online,3,80,0
TXN0000251,35.52,11,US,pos,1,617,0
TXN0000252,110.82,19,Unknown,online,1,569,0
TXN0000253,41.4,10,Spain,mobile,1,15,0
TXN0000254,1.61,8,US,atm,4,167,0
TXN0000255,54.74,14,UK,online,2,205,0
TXN0000256,9.52,21,UK,pos,0,127,0
TXN0000257,76.94,16,Romania,online,2,148,0
TXN0000258,10.85,14,US,pos,1,921,0
TXN0000259,66.94,6,Unknown,online,1,13,1
TXN0000260,115.62,15,Spain,atm,5,167,0
TXN0000261,200.3,23,Spain,mobile,2,87,0
TXN0000262,178.65,7,UK,pos,3,572,0
TXN0000263,77.94,13,Romania,mobile,4,332,0
TXN0000264,378.11,20,US,online,4,291,0
TXN0000265,35.0,17,US,online,4,828,0
TXN0000266,44.24,16,UK,pos,3,357,0
TXN0000267,175.45,17,UK,online,0,1021,1
TXN0000268,9.5,11,Spain,online,3,1364,0
TXN0000269,60.79,10,US,online,1,2156,0
TXN0000270,100.19,19,UK,atm,3,631,0
TXN0000271,304.85,19,Spain,pos,2,45,0
TXN0000272,138.12,20,Germany,atm,3,163,0
TXN0000273,8.47,21,UK,online,0,77,0
TXN0000274,125.0,13,Germany,mobile,0,1867,0
TXN0000275,1555.13,13,UK,atm,0,430,0
TXN0000276,2268.79,18,Germany,online,1,523,0
TXN0000277,1738.83,16,France,online,2,351,1
TXN0000278,142.61,17,Nigeria,online,2,531,0
TXN0000279,57.71,18,Spain,online,2,606,0
TXN0000280,232.09,20,UK,mobile,1,724,0
TXN0000281,38.09,10,UK,atm,3,2530,0
TXN0000282,0.63,11,UK,online,1,1044,0
TXN0000283,385.82,6,US,online,4,180,0
TXN0000284,110.6,14,Unknown,pos,2,80,0
TXN0000285,133.26,2,UK,online,1,67,0
TXN0000286,212.38,12,US,online,0,27,0
TXN0000287,36.64,14,Germany,atm,4,877,0
TXN0000288,92.84,10,US,online,1,363,0
TXN0000289,232.21,15,Nigeria,online,1,45,1
TXN0000290,258.66,1,US,online,2,202,0
TXN0000291,168.35,2,US,pos,2,61,0
TXN0000292,62.44,19,US,atm,3,447,0
TXN0000293,145.84,11,UK,online,1,36,0
TXN0000294,100.08,7,Nigeria,atm,1,229,0
TXN0000295,111.83,13,UK,pos,1,107,0
TXN0000296,160.97,18,US,online,3,333,0
TXN0000297,131.24,8,UK,pos,1,418,0
TXN0000298,35.84,15,Unknown,online,5,163,0
TXN0000299,67.21,6,Germany,atm,0,1139,0
TXN0000300,322.54,3,UK,atm,1,343,0
TXN0000301,90.33,14,UK,online,3,499,0
TXN0000302,253.29,14,Germany,pos,1,366,0
TXN0000303,18.93,15,UK,atm,2,54,0
TXN0000304,26.02,17,Germany,atm,1,27,0
TXN0000305,55.05,23,UK,pos,0,874,0
TXN0000306,52.17,13,US,pos,2,452,0
TXN0000307,310.02,10,Nigeria,pos,2,293,0
TXN0000308,296.77,18,,mobile,2,591,0
TXN0000309,,9,Nigeria,pos,0,486,0
TXN0000310,26.53,12,Spain,online,1,315,0
TXN0000311,359.22,5,UK,atm,3,128,0
TXN0000312,172.02,1,US,pos,5,581,0
TXN0000313,219.9,22,US,online,0,690,0
TXN0000314,4.93,19,UK,pos,6,57,0
TXN0000315,39.95,16,Germany,online,1,675,0
TXN0000316,12.53,12,Spain,pos,3,44,0
TXN0000317,5.87,8,France,online,3,259,0
TXN0000318,3.76,7,Nigeria,online,3,657,0
TXN0000319,235.67,9,Spain,online,1,4,0
TXN0000320,150.07,14,US,online,1,197,0
TXN0000321,213.91,17,Spain,mobile,1,302,0
TXN0000322,216.36,16,UK,pos,2,3000,0
TXN0000323,9.12,9,Spain,online,1,1514,0
TXN0000324,,22,Spain,atm,2,158,0
TXN0000325,41.58,17,UK,online,1,203,0
TXN0000326,374.46,14,Romania,atm,2,593,0
TXN0000327,333.57,15,UK,online,3,415,0
TXN0000328,116.67,12,Spain,mobile,0,230,0
TXN0000329,653.84,9,UK,pos,2,2792,0
TXN0000330,78.92,11,Spain,atm,5,1055,0
TXN0000331,27.18,18,US,online,0,62,0
TXN0000332,245.7,0,Spain,atm,4,599,0
TXN0000333,246.06,7,France,pos,0,122,0
TXN0000334,132.51,2,Spain,online,1,77,1
TXN0000335,4.48,2,Spain,online,2,277,0
TXN0000336,59.75,20,France,online,6,130,0
TXN0000337,309.97,17,Spain,online,0,883,0
TXN0000338,41.79,13,UK,online,3,736,0
TXN0000339,,6,Unknown,online,0,16,0
TXN0000340,1.05,13,UK,online,1,723,0
TXN0000341,65.45,13,,online,1,150,0
TXN0000342,34.47,8,UK,online,3,66,0
TXN0000343,528.25,12,Spain,online,5,247,0
TXN0000344,10.47,11,Spain,pos,0,111,0
TXN0000345,38.2,15,UK,online,0,476,0
TXN0000346,68.42,15,US,atm,1,1310,0
TXN0000347,5.52,2,France,mobile,3,1055,0
TXN0000348,162.26,11,Nigeria,online,1,463,0
TXN0000349,52.1,15,Nigeria,pos,3,605,0
TXN0000350,120.92,13,Germany,online,0,11,1
TXN0000351,32.28,20,UK,atm,3,651,0
TXN0000352,1135.56,16,Spain,pos,1,49,0
TXN0000353,34.23,7,France,online,1,23,0
TXN0000354,475.79,5,UK,pos,4,892,0
TXN0000355,4.41,16,US,atm,0,3,0
TXN0000356,228.49,1,UK,pos,2,351,0
TXN0000357,32.83,14,Spain,online,1,1034,1
TXN0000358,33.52,22,US,online,4,109,0
TXN0000359,206.49,14,Spain,atm,2,228,0
TXN0000360,107.84,11,Germany,pos,2,1096,0
TXN0000361,14.18,16,Nigeria,pos,2,930,0
TXN0000362,1.02,12,Unknown,mobile,0,1382,0
TXN0000363,1.37,14,UK,online,1,93,0
TXN0000364,76.99,22,Germany,online,1,707,0
TXN0000365,94.28,11,US,online,0,611,0
TXN0000366,280.93,22,Spain,pos,2,40,0
TXN0000367,85.66,21,Nigeria,online,1,40,0
TXN0000368,105.15,8,UK,pos,1,406,0
TXN0000369,416.03,5,Spain,atm,3,1045,0
TXN0000370,16.22,6,UK,atm,2,282,0
TXN0000371,46.56,0,UK,online,2,203,0
TXN0000372,3.05,6,US,atm,1,82,0
TXN0000373,81.77,16,UK,mobile,3,957,0
TXN0000374,370.38,5,Spain,mobile,0,123,0
TXN0000375,7.82,10,Unknown,atm,0,503,0
TXN0000376,186.95,19,US,online,0,87,0
TXN0000377,51.11,1,Romania,pos,1,42,0
TXN0000378,213.26,19,US,online,1,299,0
TXN0000379,976.97,9,Spain,online,2,279,0
TXN0000380,279.66,7,France,online,0,84,0
TXN0000381,209.29,16,UK,mobile,2,151,0
TXN0000382,6.97,15,US,mobile,0,509,0
TXN0000383,24.17,20,Nigeria,online,2,96,0
TXN0000384,65.9,17,UK,online,3,1281,0
TXN0000385,43.71,19,Nigeria,mobile,2,346,0
TXN0000386,24.83,9,UK,pos,2,434,0
TXN0000387,413.29,8,UK,pos,1,180,0
TXN0000388,817.65,17,UK,online,0,55,0
TXN0000389,79.02,19,UK,online,0,68,0
TXN0000390,97.08,23,Spain,online,2,86,0
TXN0000391,102.38,12,UK,online,3,51,1
TXN0000392,,11,UK,mobile,3,1842,0
TXN0000393,1338.13,18,France,online,1,156,0
TXN0000394,404.92,10,UK,mobile,1,16,0
TXN0000395,148.57,21,Romania,mobile,1,496,1
TXN0000396,346.2,20,Spain,pos,3,105,0
TXN0000397,1032.99,12,UK,online,3,486,0
TXN0000398,119.27,17,US,pos,3,274,0
TXN0000399,64.22,18,UK,pos,7,514,0
TXN0000400,164.11,6,France,online,3,936,0
TXN0000401,208.33,21,UK,online,5,430,0
TXN0000402,168.78,13,UK,online,4,75,0
TXN0000403,36.89,19,Spain,online,1,588,0
TXN0000404,313.88,10,Spain,online,0,1252,0
TXN0000405,24.12,20,Spain,online,4,205,0
TXN0000406,1.07,11,US,online,3,31,0
TXN0000407,58.93,0,Spain,online,2,864,0
TXN0000408,222.63,21,UK,online,0,580,0
TXN0000409,373.01,6,US,mobile,2,81,0
TXN0000410,9.56,10,Unknown,atm,2,572,0
TXN0000411,26.11,22,UK,online,3,549,0
TXN0000412,34.03,22,US,online,0,286,0
TXN0000413,50.12,14,Unknown,online,1,274,0
TXN0000414,,15,Nigeria,online,5,340,0
TXN0000415,15.95,12,UK,online,2,1150,0
TXN0000416,6309.03,10,US,atm,1,211,0
TXN0000417,57.4,10,UK,pos,0,943,0
TXN0000418,0.5,16,UK,online,3,1223,0
TXN0000419,92.1,17,France,pos,2,68,0
TXN0000420,15.37,18,Unknown,online,1,59,0
TXN0000421,138.28,18,Spain,online,0,178,0
TXN0000422,350.13,6,Spain,online,2,2276,0
TXN0000423,131.64,13,US,atm,0,61,0
TXN0000424,189.5,4,Spain,online,3,1022,0
TXN0000425,728.81,14,Unknown,mobile,2,237,0
TXN0000426,232.34,12,UK,online,4,137,0
TXN0000427,1192.18,20,,pos,2,495,0
TXN0000428,10.2,11,US,pos,3,858,0
TXN0000429,7.64,7,UK,online,3,62,0
TXN0000430,1.95,7,Spain,atm,2,1313,0
TXN0000431,15.55,18,Spain,pos,4,195,0
TXN0000432,49.45,15,Spain,atm,5,384,0
TXN0000433,115.32,6,UK,pos,1,1079,0
TXN0000434,29.14,6,UK,online,4,2,0
TXN0000435,176.76,17,Spain,online,1,454,0
TXN0000436,64.45,5,Germany,online,3,539,0
TXN0000437,20.66,19,UK,atm,5,63,0
TXN0000438,46.46,17,UK,online,4,334,0
TXN0000439,269.68,5,US,pos,3,263,0
TXN0000440,77.81,6,Romania,online,1,246,0
TXN0000441,20.85,23,UK,atm,4,1083,0
TXN0000442,92.9,11,UK,pos,4,119,0
TXN0000443,103.7,11,UK,mobile,4,233,0
TXN0000444,15.77,19,Spain,online,0,295,0
TXN0000445,248.78,22,Spain,mobile,1,232,0
TXN0000446,85.62,23,Romania,atm,1,328,0
TXN0000447,130.05,18,Nigeria,online,2,585,0
TXN0000448,371.72,11,Spain,atm,1,931,0
TXN0000449,106.11,6,France,online,1,1554,1
TXN0000450,172.84,18,Germany,atm,1,423,0
TXN0000451,,14,Spain,online,1,2163,0
TXN0000452,13.76,12,Spain,online,4,190,0
TXN0000453,13.9,21,UK,pos,2,357,0
TXN0000454,40.43,6,France,mobile,3,96,0
TXN0000455,769.0,13,Germany,pos,1,44,0
TXN0000456,56.54,0,Spain,mobile,4,392,0
TXN0000457,128.41,13,US,mobile,3,155,0
TXN0000458,26.83,3,Romania,online,1,389,0
TXN0000459,67.79,7,France,pos,5,642,0
TXN0000460,24.2,7,Spain,online,2,699,0
TXN0000461,21.34,16,UK,online,1,404,0
TXN0000462,75.85,17,US,atm,1,223,0
TXN0000463,78.67,14,UK,pos,2,131,0
TXN0000464,200.55,22,Spain,mobile,3,1163,0
TXN0000465,46.66,11,France,online,2,183,0
TXN0000466,444.93,10,UK,pos,2,663,0
TXN0000467,149.42,20,Germany,pos,5,2894,0
TXN0000468,34.31,8,Spain,online,1,1391,0
TXN0000469,20.17,22,UK,atm,3,291,0
TXN0000470,93.88,0,UK,atm,3,684,0
TXN0000471,105.88,22,Nigeria,atm,2,423,0
TXN0000472,70.31,2,US,mobile,1,472,0
TXN0000473,48.02,20,US,pos,5,863,0
TXN0000474,244.34,14,Germany,atm,3,199,0
TXN0000475,106.87,23,UK,online,2,1338,0
TXN0000476,167.25,5,US,online,2,89,0
TXN0000477,35.56,14,Nigeria,online,4,47,0
TXN0000478,165.22,22,Unknown,atm,1,456,0
TXN0000479,18.11,13,US,online,0,93,0
TXN0000480,601.91,15,UK,pos,4,107,0
TXN0000481,217.98,16,UK,online,2,1858,0
TXN0000482,235.64,12,Germany,atm,2,246,0
TXN0000483,26.75,15,Spain,pos,1,287,0
TXN0000484,168.31,14,France,online,3,677,0
TXN0000485,12.24,21,Spain,online,0,130,0
TXN0000486,155.58,2,Spain,online,1,212,0
TXN0000487,106.31,9,France,pos,4,898,0
TXN0000488,158.33,22,Spain,online,3,8,0
TXN0000489,46.85,20,Spain,online,3,395,0
TXN0000490,7.75,12,UK,pos,2,49,0
TXN0000491,198.22,15,Spain,online,5,461,0
TXN0000492,194.78,9,France,pos,3,529,0
TXN0000493,28.9,8,UK,atm,0,558,0
TXN0000494,584.23,12,Germany,atm,3,893,0
TXN0000495,134.76,11,UK,online,0,662,0
TXN0000496,26.89,14,UK,pos,1,1,0
TXN0000497,186.52,5,Spain,pos,2,429,0
TXN0000498,3.16,22,Romania,pos,2,815,0
TXN0000499,255.62,23,Spain,online,1,77,0
TXN0000500,72.87,17,Unknown,atm,2,438,0
TXN0000501,29.0,14,France,online,1,209,0
TXN0000502,243.3,10,US,atm,1,1294,0
TXN0000503,161.09,19,US,online,1,2521,0
TXN0000504,81.41,16,Spain,pos,1,578,0
TXN0000505,228.38,7,Germany,online,1,549,0
TXN0000506,127.35,21,UK,pos,3,105,0
TXN0000507,399.9,19,UK,pos,1,561,0
TXN0000508,17.91,22,Unknown,pos,2,391,0
TXN0000509,89.85,17,Spain,online,0,682,0
TXN0000510,7.83,15,UK,online,2,687,0
TXN0000511,54.07,12,Romania,pos,2,1357,0
TXN0000512,415.77,21,Nigeria,atm,2,415,0
TXN0000513,131.9,20,US,pos,3,813,0
TXN0000514,116.07,2,Romania,atm,1,2785,0
TXN0000515,6.54,1,UK,pos,2,242,0
TXN0000516,2.32,11,US,mobile,0,733,0
TXN0000517,9.28,19,Spain,pos,0,481,0
TXN0000518,181.39,23,France,online,2,4,1
TXN0000519,54.69,7,Spain,online,1,92,0
TXN0000520,289.09,15,Unknown,pos,2,1224,0
TXN0000521,74.18,11,Nigeria,mobile,2,268,0
TXN0000522,103.87,22,UK,pos,4,13,0
TXN0000523,204.37,19,US,online,5,416,0
TXN0000524,11.22,19,Nigeria,online,2,175,0
TXN0000525,4071.37,13,Romania,online,2,225,0
TXN0000526,89.87,12,France,online,3,169,0
TXN0000527,17.17,9,Germany,online,2,950,0
TXN0000528,158.82,3,Spain,atm,0,266,0
TXN0000529,70.89,20,Unknown,online,0,311,0
TXN0000530,642.43,19,Nigeria,mobile,5,8,1
TXN0000531,16.75,23,UK,online,1,700,0
TXN0000532,273.61,23,France,online,2,364,0
TXN0000533,112.11,14,Spain,atm,0,175,0
TXN0000534,230.26,18,US,online,1,917,0
TXN0000535,159.29,22,US,online,1,926,0
TXN0000536,70.6,19,Germany,online,2,516,0
TXN0000537,159.47,9,Nigeria,mobile,2,306,0
TXN0000538,19.37,12,UK,pos,4,2123,0
TXN0000539,431.86,7,Spain,mobile,3,50,0
TXN0000540,47.08,22,UK,atm,2,314,0
TXN0000541,128.82,15,France,online,1,1050,0
TXN0000542,86.97,9,UK,online,2,283,0
TXN0000543,121.64,16,Spain,online,2,814,0
TXN0000544,92.23,15,France,atm,3,447,0
TXN0000545,191.6,11,Romania,pos,0,260,0
TXN0000546,39.45,7,Spain,mobile,5,1100,0
TXN0000547,82.57,16,Nigeria,online,2,407,0
TXN0000548,140.67,13,France,online,1,719,0
TXN0000549,412.49,18,UK,online,3,184,0
TXN0000550,50.73,13,France,atm,1,88,0
TXN0000551,104.39,19,UK,online,1,336,0
